ottol_name.id,ottol_name.uid,ottol_name.parent_uid,ottol_name.accepted_uid,ottol_name.preottol_taxid,ottol_name.preottol_parent_taxid,ottol_name.preottol_source,ottol_name.preottol_source_taxid,ottol_name.ncbi_taxid,ottol_name.gbif_taxid,ottol_name.namebank_taxid,ottol_name.treebase_taxid,ottol_name.name,ottol_name.unique_name,ottol_name.rank,ottol_name.comments,ottol_name.mtime
1897145,<NULL>,<NULL>,<NULL>,100469623,102055975,U4,3-12184,<NULL>,<NULL>,<NULL>,<NULL>,Sambucaceae,Sambucaceae,family,<NULL>,2012-10-22 18:13:12
1898016,<NULL>,<NULL>,<NULL>,100985014,101014510,U4,3-24756,433899,<NULL>,<NULL>,<NULL>,Redfieldia,Redfieldia,genus,<NULL>,2012-12-03 14:38:00
1899424,<NULL>,<NULL>,<NULL>,102012043,101014510,U4,3-24736,<NULL>,<NULL>,<NULL>,<NULL>,Pseudozoysia,Pseudozoysia,genus,<NULL>,2012-10-22 18:13:12
1899831,<NULL>,<NULL>,<NULL>,102012046,101014510,U4,3-24739,200274,<NULL>,<NULL>,<NULL>,Psilurus,Psilurus,genus,<NULL>,2012-12-03 14:38:01
1901579,<NULL>,<NULL>,<NULL>,101806090,101817431,U4,9-28673,188964,<NULL>,<NULL>,<NULL>,Gymnophrys cometa,Gymnophrys cometa,species,<NULL>,2012-11-16 11:38:34
1904905,<NULL>,<NULL>,<NULL>,101184025,101945892,NCBI,337527,<NULL>,<NULL>,<NULL>,<NULL>,Rumphia orbicularis,Rumphia orbicularis,species,<NULL>,2012-10-22 18:13:12
1909629,<NULL>,<NULL>,<NULL>,101255663,101696893,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Onoseris speciosa,Onoseris speciosa,species,<NULL>,2012-10-22 18:13:12
1913132,<NULL>,<NULL>,<NULL>,100325072,100325073,U4,290997,<NULL>,<NULL>,<NULL>,<NULL>,Siphonaria petersenii,Siphonaria petersenii,species,<NULL>,2012-10-22 18:13:12
1913351,<NULL>,<NULL>,<NULL>,100551495,101014510,U4,3-23822,4544,<NULL>,<NULL>,<NULL>,Dasypoa,Dasypoa,genus,<NULL>,2012-12-03 14:38:02
1913745,<NULL>,<NULL>,<NULL>,100589995,100994820,NCBI,96660,<NULL>,<NULL>,<NULL>,<NULL>,Poikilolaimus regenfussi,Poikilolaimus regenfussi,species,<NULL>,2012-10-22 18:13:12
